Name,source,original_index,SMILES,status
positive:48,positive,48,Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,kept
positive:49,positive,49,Clc1cc(Cl)cc(-c2cc(Cl)ccc2Cl)c1,kept
positive:50,positive,50,Nc1ccc(Cc2ccc(N)c(Cl)c2Cl)c(Cl)c1Cl,kept
positive:51,positive,51,Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl,kept
positive:52,positive,52,Clc1ccc2oc3cc(Cl)c(Cl)c(Cl)c3c2c1,kept
positive:53,positive,53,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,kept
positive:54,positive,54,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,kept
positive:55,positive,55,CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],kept
positive:56,positive,56,CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C(Br)C(Br)(Br)Br,kept
positive:57,positive,57,Clc1ccc(Cl)c(Cl)c1Cl,kept
positive:58,positive,58,CC(C)(C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,kept
positive:59,positive,59,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,kept
positive:60,positive,60,Clc1cc(Cl)c(-c2ccccc2)cc1Cl,kept
positive:61,positive,61,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,kept
positive:62,positive,62,Brc1ccc(Br)c(Br)c1,kept
positive:63,positive,63,CC1CC(C)CC(C)C1,kept
positive:64,positive,64,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,kept
positive:65,positive,65,Cc1cc(Cl)c(Cl)cc1Cl,kept
positive:66,positive,66,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,kept
positive:67,positive,67,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,kept
negative:0,negative,0,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,kept
negative:1,negative,1,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,kept
negative:2,negative,2,O=C(O)c1ccc(Cl)c(Cl)c1,kept
negative:3,negative,3,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,kept
negative:4,negative,4,CCOCC,kept
negative:5,negative,5,COP(=O)(OC)OC=C(Cl)Cl,kept
negative:6,negative,6,ClC(Cl)(Cl)C(Cl)(Cl)Cl,kept
negative:7,negative,7,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,kept
negative:8,negative,8,O=C(O)C(Cl)(Cl)Cl,kept
negative:9,negative,9,O=C(O)C(O)(c1ccccc1)c1ccccc1,kept
negative:10,negative,10,CCOP(=O)(OCC)OCC,kept
negative:11,negative,11,CC1=CC(=O)CC(C)(C)C1,kept
negative:12,negative,12,BrC(Br)C(Br)Br,kept
negative:13,negative,13,C=C1C2CCC(C2)C1(C)C,kept
negative:14,negative,14,Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,kept
negative:15,negative,15,CCCCOC(=O)c1ccccc1C(=O)OCCCC,kept
negative:16,negative,16,Cc1c(Br)c(Br)c(Br)c(Br)c1Br,kept
negative:17,negative,17,Oc1c(Cl)cc(Cl)cc1Cl,kept
negative:18,negative,18,Cc1ccc(N)c(S(=O)(=O)O)c1,kept
negative:19,negative,19,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,kept
negative:20,negative,20,c1ccc2c(c1)Nc1ccccc1S2,kept
negative:21,negative,21,Cc1ccccc1Cl,kept
negative:22,negative,22,Cc1ccc(C)c(C)c1,kept
negative:23,negative,23,Nc1ccc(Cl)c(Cl)c1,kept
negative:24,negative,24,ClCC(Cl)CCl,kept
negative:25,negative,25,CCC(C)=NO,kept
negative:26,negative,26,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,kept
negative:27,negative,27,FC(F)(F)c1cccc(Cl)c1,kept
negative:28,negative,28,CC(N)c1ccccc1,kept
negative:29,negative,29,Nc1cccc([N+](=O)[O-])c1,kept
negative:30,negative,30,O=[N+]([O-])c1ccc(O)cc1,kept
negative:31,negative,31,N=C(Nc1ccccc1)Nc1ccccc1,kept
negative:32,negative,32,Cc1cc(C)cc(C)c1,kept
negative:33,negative,33,Brc1ccccc1,kept
negative:34,negative,34,CCCCCl,kept
negative:35,negative,35,C1CNCCN1,kept
negative:36,negative,36,CC(O)COCC(C)O,kept
negative:37,negative,37,NCCNCCN,kept
negative:38,negative,38,ClCCOCCCl,kept
negative:39,negative,39,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,kept
negative:40,negative,40,O=C(c1ccccc1)c1ccccc1,kept
negative:41,negative,41,CC1OC(C)OC(C)O1,kept
negative:42,negative,42,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,kept
negative:43,negative,43,CCCCOP(=O)(OCCCC)OCCCC,kept
negative:44,negative,44,O=C1c2ccccc2C(=O)c2c(O)cccc21,kept
negative:45,negative,45,CN(C)C(=S)SSC(=S)N(C)C,kept
negative:46,negative,46,CCOP(=S)(OCC)SCCSCC,kept
negative:47,negative,47,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,kept
negative:48,negative,48,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,kept
negative:49,negative,49,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,kept
negative:50,negative,50,Cc1ccc(C)c(C)c1C,kept
negative:51,negative,51,CC1CCCC(C)N1,kept
negative:52,negative,52,Nc1ccccn1,kept
negative:53,negative,53,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,kept
negative:54,negative,54,O=C(O)C(Br)C(Br)C(=O)O,kept
negative:55,negative,55,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,kept
negative:56,negative,56,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,kept
negative:57,negative,57,Oc1cc(Cl)cc(Cl)c1,kept
negative:58,negative,58,CNc1ccccc1C,kept
negative:59,negative,59,CCc1ccccc1[N+](=O)[O-],kept
negative:60,negative,60,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,kept
negative:61,negative,61,O=C1CCCCCCCCCCCN1,kept
negative:62,negative,62,OCc1ccc(Cl)c(Cl)c1,kept
negative:63,negative,63,CCCCCCCCc1ccc(O)cc1,kept
negative:64,negative,64,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,kept
negative:65,negative,65,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,kept
negative:66,negative,66,CCC(C)c1ccccc1OC(=O)NC,kept
negative:67,negative,67,COP1(=S)OCc2ccccc2O1,kept
negative:68,negative,68,Cc1ccc([N+](=O)[O-])cc1O,kept
negative:69,negative,69,CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,kept
negative:70,negative,70,Cc1ccc(S(=O)(=O)Oc2ccc(/N=N/c3ccc(-c4ccc(N=Nc5c(O)ccc6cc(S(=O)(=O)O)cc(S(=O)(=O)O)c56)c(C)c4)cc3C)cc2)cc1,kept
negative:71,negative,71,O=C1c2ccccc2C(=O)C1c1nc2ccccc2c(Br)c1O,kept
negative:72,negative,72,CC(=CC(C)(C)c1ccc(O)cc1)c1ccc(O)cc1,kept
negative:73,negative,73,CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,kept
negative:74,negative,74,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,kept
negative:75,negative,75,Clc1cc2c(cc1Cl)Oc1ccccc1O2,kept
negative:76,negative,76,ClCCOC(c1ccccc1)c1ccccc1,kept
negative:77,negative,77,N#CCCN(CCOC(=O)c1ccccc1)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,kept
negative:78,negative,78,CC1CCC(C(=O)O)C(C(=O)O)C1,kept
negative:79,negative,79,Cc1cc(=O)[nH]o1,kept
negative:80,negative,80,CC(C)OC(=O)Nc1cccc(Cl)c1,kept
negative:81,negative,81,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,kept
negative:82,negative,82,CCCCN(CC)C(=O)SCCC,kept
negative:83,negative,83,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,kept
negative:84,negative,84,CNC(=O)Oc1ccccc1OC(C)C,kept
negative:85,negative,85,CNC(=O)O/N=C/C(C)(C)SC,kept
negative:86,negative,86,CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)OCC1CCCO1,kept
negative:87,negative,87,O=C(S)c1cccc2nnsc12,kept
negative:88,negative,88,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,kept
negative:89,negative,89,O=[N+]([O-])c1ccc(ON=Cc2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,kept
negative:90,negative,90,CCCSP(=O)(OCC)SCCC,kept
negative:91,negative,91,Fc1ccc([C@@]2(Cn3cncn3)O[C@@H]2c2ccccc2Cl)cc1,kept
negative:92,negative,92,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,kept
negative:93,negative,93,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,kept
negative:94,negative,94,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,kept
negative:95,negative,95,CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,kept
negative:96,negative,96,CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,kept
negative:97,negative,97,c1ccc2[nH]c(-c3cscn3)nc2c1,kept
negative:98,negative,98,Nc1cnn(-c2ccccc2)c(=O)c1Cl,kept
negative:99,negative,99,CON(C)C(=O)Nc1ccc(Cl)cc1,kept
negative:100,negative,100,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,kept
negative:101,negative,101,CNC(=O)N(C)c1nc2ccccc2s1,kept
negative:102,negative,102,CC(C)N(C(=O)CCl)c1ccccc1,kept
negative:103,negative,103,CCCSC(=O)N(CCC)CCC,kept
negative:104,negative,104,COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,kept
negative:105,negative,105,COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,kept
negative:106,negative,106,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,kept
negative:107,negative,107,COP(=S)(OC)SCC(=O)N(C)C=O,kept
negative:108,negative,108,CCCOC(=O)NCCCN(C)C,kept
negative:109,negative,109,CNC(=O)Oc1cc(C)cc(C(C)C)c1,kept
negative:110,negative,110,O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,kept
negative:111,negative,111,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,kept
negative:112,negative,112,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,kept
negative:113,negative,113,CCOCN(C(=O)CCl)c1c(C)cccc1CC,kept
negative:114,negative,114,O=c1cc(Cl)[nH]nc1-c1ccccc1,kept
negative:115,negative,115,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,kept
negative:116,negative,116,CC1=C(C(=O)Nc2ccccc2)SCCO1,kept
negative:117,negative,117,Cl/C=C/CCl,kept
negative:118,negative,118,CCCCCCCCCCC=Cc1c(OC(C)=O)c(O)c2ccccc2c1O,kept
negative:119,negative,119,O=c1c(C2CCCc3ccccc32)c(O)oc2ccccc12,kept
negative:120,negative,120,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,kept
negative:121,negative,121,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,kept
negative:122,negative,122,CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,kept
negative:123,negative,123,CCS(=O)(=O)Oc1ccc2c(c1)C(C)(C)CO2,kept
negative:124,negative,124,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,kept
negative:125,negative,125,COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,kept
negative:126,negative,126,CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,kept
negative:127,negative,127,N#Cc1c[nH]cc1-c1cccc(Cl)c1Cl,kept
negative:128,negative,128,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,kept
negative:129,negative,129,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,kept
negative:130,negative,130,O=C(O)COc1ccc(Cl)cc1Cl,kept
negative:131,negative,131,O=C(O)c1ccc(Cl)cc1,kept
negative:132,negative,132,N#Cc1cc(Br)c(O)c(Br)c1,kept
negative:133,negative,133,CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,kept
negative:134,negative,134,Cc1cccc(C(C)C)c1,kept
negative:135,negative,135,Nc1nc[nH]n1,kept
negative:136,negative,136,ClCCl,kept
negative:137,negative,137,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,kept
negative:138,negative,138,Nc1c(S(=O)(=O)O)cc(S(=O)(=O)O)c2cccc(O)c12,kept
negative:139,negative,139,c1cc2c3c(cccc3c1)CC2,kept
negative:140,negative,140,C=Cc1ccc2c(O)c3ccccc3c(O)c2c1,kept
negative:141,negative,141,Nc1ccccc1-c1ccccc1,kept
negative:142,negative,142,O=C(Nc1ccccc1)c1cc2ccccc2cc1O,kept
negative:143,negative,143,Cc1ccccc1O,kept
negative:144,negative,144,Clc1ccccc1Cl,kept
negative:145,negative,145,Nc1ccccc1Cl,kept
negative:146,negative,146,Cc1ccc(N)cc1N,kept
negative:147,negative,147,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,kept
negative:148,negative,148,CC(C)(C)c1ccc(O)cc1,kept
negative:149,negative,149,CNc1ccccc1,kept
negative:150,negative,150,C=CCN(CC=C)CC=C,kept
negative:151,negative,151,CCCCCCCCCc1ccc(O)cc1,kept
negative:152,negative,152,O=Cc1ccc(Cl)cc1,kept
negative:153,negative,153,Nc1cccc(N)c1,kept
negative:154,negative,154,c1ccoc1,kept
negative:155,negative,155,NCCNCCO,kept
negative:156,negative,156,OCC(CO)(CO)CO,kept
negative:157,negative,157,Oc1c(Br)cc(Br)cc1Br,kept
negative:158,negative,158,O=C(O)c1ccccc1Cl,kept
negative:159,negative,159,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,kept
negative:160,negative,160,C1COCCO1,kept
negative:161,negative,161,CC(C)(CO)CO,kept
negative:162,negative,162,COc1ccc(C(=O)c2ccccc2)c(O)c1,kept
negative:163,negative,163,O=C(Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1)Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,kept
negative:164,negative,164,N#CN=C(N)N,kept
negative:165,negative,165,C1CCC2CCCC2C1,kept
negative:166,negative,166,C(=NC1CCCCC1)=NC1CCCCC1,kept
negative:167,negative,167,CCCCCCCCCCCCCCCC,kept
negative:168,negative,168,Nc1ccc(Cl)cc1Cl,kept
negative:169,negative,169,O=[N+]([O-])c1cccc(O)c1,kept
negative:170,negative,170,COc1cccc([N+](=O)[O-])c1,kept
negative:171,negative,171,Oc1cc(Cl)ccc1Cl,kept
negative:172,negative,172,Nc1cccc(O)c1,kept
negative:173,negative,173,CN1CCCCC1,kept
negative:174,negative,174,Nc1cc(Cl)c(Cl)c(Cl)c1,kept
negative:175,negative,175,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,kept
negative:176,negative,176,Cc1cc(O)ccc1[N+](=O)[O-],kept
negative:177,negative,177,COP(=S)(OC)Oc1ccc(S(C)(=O)=O)c(C)c1,kept
negative:178,negative,178,CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCCCCCCCCCCCCC,kept
negative:179,negative,179,O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,kept
negative:180,negative,180,Cc1ccc(C)c(C(C)c2ccccc2)c1,kept
negative:181,negative,181,O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)O,kept
negative:182,negative,182,O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,kept
negative:183,negative,183,Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,kept
negative:184,negative,184,N#CCCN(CCC#N)c1ccc(/N=N/c2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1,kept
negative:185,negative,185,CCCCCCCCCCCCN=C(N)N,kept
negative:186,negative,186,CN(C)C(=O)Nc1ccccc1,kept
negative:187,negative,187,CNc1nc(NC(C)C)nc(SC)n1,kept
negative:188,negative,188,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,kept
negative:189,negative,189,COc1cc(OC)nc(NC(=O)NS(=O)(=O)N(C)S(C)(=O)=O)n1,kept
negative:190,negative,190,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,kept
negative:191,negative,191,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,kept
negative:192,negative,192,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,kept
negative:193,negative,193,CNC(=S)S,kept
negative:194,negative,194,COP(=O)(OC)O/C(C)=C/C(=O)N(C)C,kept
negative:195,negative,195,CCOC(=O)/C(Cl)=C/c1cc(N2C(=O)C3=C(CCCC3)C2=O)ccc1Cl,kept
negative:196,negative,196,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,kept
negative:197,negative,197,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,kept
negative:198,negative,198,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,kept
negative:199,negative,199,COC(=O)NS(=O)(=O)c1ccc(N)cc1,kept
negative:200,negative,200,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,kept
negative:201,negative,201,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,kept
negative:202,negative,202,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,kept
negative:203,negative,203,COCCN(C(=O)CCl)c1c(C)cccc1C,kept
negative:204,negative,204,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,kept
negative:205,negative,205,CCCN(CCC)C(=O)SCc1ccccc1,kept
negative:206,negative,206,CN1CSC(=S)N(C)C1,kept
negative:207,negative,207,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,kept
negative:208,negative,208,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,kept
negative:209,negative,209,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,kept
negative:210,negative,210,Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,kept
negative:211,negative,211,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,kept
negative:212,negative,212,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,kept
negative:213,negative,213,CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,kept
negative:214,negative,214,CCNc1nc(NC(C)(C)C)nc(SC)n1,kept
negative:215,negative,215,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,kept
negative:216,negative,216,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,kept
negative:217,negative,217,ClC1C(Br)C(Br)C(Br)C(Br)C1Br,kept
negative:218,negative,218,COc1ccccc1[N+](=O)[O-],kept
negative:219,negative,219,NS(=O)(=O)c1ccccc1,kept
negative:220,negative,220,Brc1cccc(Br)c1,kept
negative:221,negative,221,Oc1cccc(Cl)c1,kept
negative:222,negative,222,C1CCCCC1,kept
negative:223,negative,223,c1ccc2c(c1)CCCC2,kept
negative:224,negative,224,Nc1cc(S(=O)(=O)O)c(O)c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O,kept
negative:225,negative,225,C1=Cc2cccc3cccc1c23,kept
negative:226,negative,226,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,kept
negative:227,negative,227,Cc1ccc(Cl)c(O)c1,kept
negative:228,negative,228,NCc1cccc(CN)c1,kept
negative:229,negative,229,BrCC(CBr)(CBr)CBr,kept
negative:230,negative,230,CCN(CC)C(=O)SCc1ccc(Cl)cc1,kept
negative:231,negative,231,c1ccc2c(c1)[nH]c1ccccc12,kept
negative:232,negative,232,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,kept
negative:233,negative,233,O=C(Nc1ccccc1)Nc1cnns1,kept
negative:234,negative,234,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,kept
negative:235,negative,235,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,kept
negative:236,negative,236,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,kept
negative:237,negative,237,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,kept
negative:238,negative,238,COc1c(Cl)cc(Cl)cc1Cl,kept
negative:239,negative,239,O=[N+]([O-])c1ccccc1O,kept
negative:240,negative,240,O=C(O)C1CC=CCC1C(=O)O,kept
negative:241,negative,241,Oc1ccccc1Br,kept
negative:242,negative,242,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,kept
negative:243,negative,243,O=c1[nH]c(=O)[nH]c(=O)[nH]1,kept
negative:244,negative,244,C1COCCN1,kept
negative:245,negative,245,CCN(CC)C(=O)c1cccc(C)c1,kept
negative:246,negative,246,O=S(=O)(O)c1ccc2cc(O)c(S(=O)(=O)O)cc2c1,kept
negative:247,negative,247,c1ccc2c(c1)c1ccccc1c1ccccc21,kept
negative:248,negative,248,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,kept
negative:249,negative,249,CC(C)CCOCCC(C)C,kept
negative:250,negative,250,O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,kept
negative:251,negative,251,N#Cc1cccc(C#N)c1,kept
negative:252,negative,252,Nc1cc(Cl)c(Cl)cc1Cl,kept
negative:253,negative,253,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,kept
negative:254,negative,254,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,kept
negative:255,negative,255,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,kept
negative:256,negative,256,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,kept
